ASIN,Product Title,Current Price,Original Price,Currency,Discount %,Savings Amount,URL,Image URL,Category,Brand,Prime
B088TZC4B6,"Little's Soft Cleansing Baby Wipes with Lid | 80 Wipes x Pack of 3 - 240 Wipes | Extra Thick & Moist Wet Wipes for Baby's | Prevents Rashes & Redness with Goodness of Aloe Vera, Vitamin E & Jojoba Oil",189,596,₹,68,407,https://www.amazon.in/dp/B088TZC4B6?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51EXze5byiL._SL160_.jpg,Baby,,false
B09J2T124D,"NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (2 Jars & 1 Blade, Silver) - 2 Year Warranty",1599,5000,₹,68,3401,https://www.amazon.in/dp/B09J2T124D?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41PFfgE1TxL._SL160_.jpg,Appliances,,false
B0DRPCR5VK,"Wembley Rechargeable Karaoke Mic with Speaker for Singing | Wireless Mini Portable Bluetooth Speaker with Microphone & LED Lights | Cute Birthday Gift for Kids Musical Toys for Boys, Girls and Adults",546,1699,₹,67,1153,https://www.amazon.in/dp/B0DRPCR5VK?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41Mtcy5E4bL._SL160_.jpg,ToysAndGames,,false
B0D8BG7S4P,"Aristocrat Nova 15L Laptop Backpack for Men & Women with Bottle Pocket | Padded Shoulder Straps, Multi Compartments | Travel & College Bag | Dark Black",329,999,₹,67,670,https://www.amazon.in/dp/B0D8BG7S4P?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31eJTTlRPuL._SL160_.jpg,Luggage,,false
B08TV2P1N8,"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)",1299,3990,₹,67,2691,https://www.amazon.in/dp/B08TV2P1N8?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41NVmSPAgAL._SL160_.jpg,Computers,,false
B0F7Y54PJX,"boAt 2025 Launch Rockerz 113, 40H Battery, Dual Pair, Fast Charge, ENx Tech, Stream Ad Free Music via App Support, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones (Active Black)",799,2490,₹,67,1691,https://www.amazon.in/dp/B0F7Y54PJX?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41YX5pqCzNL._SL160_.jpg,Computers,,false
B0BK1457X3,"Boldfit Shoe Bag for Travel Bag for Man & Women Shoe Cover for Storage at Home Gym Reusable Travelling Accessories Organizer Pouch Travel Essentials Footwear Bags for Travelling Men -Pack of 6, Black",199,592,₹,66,393,https://www.amazon.in/dp/B0BK1457X3?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/51je6okhQ3L._SL160_.jpg,Luggage,,false
B088KRHPG5,"Juarez JRZ10HM Key C Diatonic Blues Harmonica 10 Hole 20 Tones with Case, Mouth Organ for Beginners, Students, Kids & Professionals, Silver",337,990,₹,65,653,https://www.amazon.in/dp/B088KRHPG5?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31xHLFzk+CL._SL160_.jpg,MusicalInstruments,,false
B09VTDMRY7,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls (Black)",699,2000,₹,65,1301,https://www.amazon.in/dp/B09VTDMRY7?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/31fAITaT6rL._SL160_.jpg,Luggage,,false
B0DQ5Q65MD,"OSNETRA Thakurji Papyrus Artwork | Handcrafted Wall Art for Living Room, Office, and Meditation Space (WITHOUT FRAME) (21 CM x 30 CM)",899,2600,₹,65,1701,https://www.amazon.in/dp/B0DQ5Q65MD?tag=discount0e8e-21&linkCode=osi&th=1&psc=1,https://m.media-amazon.com/images/I/41t9kIlD2VL._SL160_.jpg,Collectibles,,false
